	nonstereo_aromatic_smiles	accession	standard_type	organism	pPot	standard_value	chembl_cid	chembl_tid	is_MT
201553	Cc1cc(C(C)Nc2ccccc2)c2oc(-c3ccncc3)cc(=O)c2c1	O00329	IC50	Homo sapiens	6.0	1000.0	CHEMBL3218573	CHEMBL3130	True
201555	Cc1cc(C(C)Nc2ccccc2)c2oc(N3CCOCC3)cc(=O)c2c1	O00329	IC50	Homo sapiens	6.383400379207612	459.0	CHEMBL2064328	CHEMBL3130	True
202100	Cc1cc(C)c(S(=O)(=O)N2CCN(Cn3cc4c(=O)oc5ccccc5c4n3)CC2)c(C)c1	O00329	IC50	Homo sapiens	6.638272163982407	230.0	CHEMBL4437551	CHEMBL3130	True
202193	Cc1cc(C)c(S(=O)(=O)n2cc3c(=O)oc4ccccc4c3n2)c(C)c1	O00329	IC50	Homo sapiens	5.7495799976911055	1780.0	CHEMBL4591567	CHEMBL3130	True
204800	Cc1cc(F)cc(NC(C)c2cc(C(=O)N(C)C)cc3c(=O)cc(N4CCOCC4)oc23)c1	O00329	IC50	Homo sapiens	6.958607314841776	110.0	CHEMBL3408253	CHEMBL3130	True
204954	Cc1cc(F)ccc1Oc1cccc2c(=O)cc(N3CCOCC3)[nH]c12	O00329	IC50	Homo sapiens	6.779891911959945	166.0	CHEMBL2064327	CHEMBL3130	True
205014	Cc1cc(N(C)c2ccccc2)c2nc(N3CCOCC3)cc(=O)n2c1	O00329	IC50	Homo sapiens	6.045757490560675	900.0	CHEMBL3585596	CHEMBL3130	True
205497	Cc1cc(NC(=O)CCNC(=O)Nc2nc(C)c(-c3ccc(-n4cccn4)cc3)s2)no1	O00329	Ki	Homo sapiens	8.397940008672037	4.0	CHEMBL1986603	CHEMBL3130	True
205502	Cc1cc(NC(=O)CCNC(=O)Nc2nc(C)c(-c3ccc(S(C)(=O)=O)c(F)c3)s2)no1	O00329	Ki	Homo sapiens	8.522878745280337	3.0	CHEMBL2071340	CHEMBL3130	True
205743	Cc1cc(NC(C)c2ccccc2)c2nc(N3CCOCC3)cc(=O)n2c1	O00329	IC50	Homo sapiens	6.332773124424534	535.0	CHEMBL3585607_CHEMBL3585608	CHEMBL3130	True
205808	Cc1cc(NCc2ccccc2)c2nc(N3CCOCC3)cc(=O)n2c1	O00329	IC50	Homo sapiens	6.638272163982407	230.0	CHEMBL3585601	CHEMBL3130	True
205813	Cc1cc(NCc2ccccc2C)c2nc(N3CCOCC3)cc(=O)n2c1	O00329	IC50	Homo sapiens	6.457176355851573	505.0	CHEMBL3218574	CHEMBL3130	True
205817	Cc1cc(NCc2ccccn2)c2nc(N3CCOCC3)cc(=O)n2c1	O00329	IC50	Homo sapiens	6.096910013008058	800.0	CHEMBL3585604	CHEMBL3130	True
205820	Cc1cc(NCc2cccnc2)c2nc(N3CCOCC3)cc(=O)n2c1	O00329	IC50	Homo sapiens	6.346787486224656	450.0	CHEMBL3585605	CHEMBL3130	True
205824	Cc1cc(NCc2ccncc2)c2nc(N3CCOCC3)cc(=O)n2c1	O00329	IC50	Homo sapiens	6.1487416512809245	710.0	CHEMBL3585606	CHEMBL3130	True
